transactionId,repaymentDay,amount
19009,2022-02-05T00:00:00Z,93300
19009,2022-03-08T00:00:00Z,93300
38246,2022-03-26T00:00:00Z,266667
40966,2022-04-03T00:00:00Z,76667
19009,2022-04-07T00:00:00Z,93300
45503,2022-04-15T00:00:00Z,233334
46954,2022-04-19T00:00:00Z,150000
38246,2022-04-27T00:00:00Z,266667
52501,2022-04-28T00:00:00Z,28300
56928,2022-05-07T00:00:00Z,333334
59418,2022-05-12T00:00:00Z,100000
38246,2022-05-26T00:00:00Z,266666
65598,2022-05-29T00:00:00Z,14967
66546,2022-06-01T00:00:00Z,200000
59418,2022-06-10T00:00:00Z,100000
52501,2022-06-15T00:00:00Z,28300
52501,2022-06-15T00:00:00Z,28300
77834,2022-06-22T00:00:00Z,500000
79353,2022-06-26T00:00:00Z,433334
85836,2022-07-11T00:00:00Z,278952
65598,2022-07-19T00:00:00Z,14966
65598,2022-07-19T00:00:00Z,14967
95386,2022-07-21T00:00:00Z,33300
97219,2022-07-22T00:00:00Z,9967
100224,2022-07-24T00:00:00Z,17970
105268,2022-07-27T00:00:00Z,49967
129056,2022-08-06T00:00:00Z,31634
59418,2022-08-09T00:00:00Z,100000
141073,2022-08-10T00:00:00Z,399967
141520,2022-08-10T00:00:00Z,94684
97219,2022-08-17T00:00:00Z,9967
95386,2022-08-20T00:00:00Z,33300
100224,2022-08-22T00:00:00Z,17970
105268,2022-08-25T00:00:00Z,49967
209133,2022-08-31T00:00:00Z,19967
210124,2022-09-01T00:00:00Z,49967
129056,2022-09-05T00:00:00Z,31633
141073,2022-09-08T00:00:00Z,1199900
209133,2022-09-08T00:00:00Z,59900
231176,2022-09-09T00:00:00Z,59967
232673,2022-09-09T00:00:00Z,49967
242780,2022-09-12T00:00:00Z,43300
251189,2022-09-14T00:00:00Z,46634
97219,2022-09-16T00:00:00Z,9966
270233,2022-09-17T00:00:00Z,43300
272544,2022-09-18T00:00:00Z,29967
105268,2022-09-18T00:00:00Z,49966
95386,2022-09-19T00:00:00Z,33300
284838,2022-09-20T00:00:00Z,33334
100224,2022-09-21T00:00:00Z,17970
272544,2022-09-22T00:00:00Z,89900
295802,2022-09-22T00:00:00Z,31634
